Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 35.72      0.25     0.25    39876     0.01     0.01  Moves
 15.71      0.36     0.11    36448     0.00     0.00  MarkReach
 10.00      0.43     0.07    89902     0.00     0.00  GetPenalty
  5.71      0.47     0.04   498192     0.00     0.00  AllBitsSetBS
  4.29      0.50     0.03   246608     0.00     0.00  BitOrAndEqBS
  2.86      0.52     0.02   246608     0.00     0.00  DeadLock
  2.86      0.54     0.02    34846     0.00     0.00  GenerateMoves
  2.86      0.56     0.02    33344     0.00     0.00  My_qsort
  1.43      0.57     0.01   684108     0.00     0.00  GetOptDist
  1.43      0.58     0.01   668938     0.00     0.00  GetManDir
  1.43      0.59     0.01   416198     0.00     0.00  PenCompare
  1.43      0.60     0.01   313808     0.00     0.00  Frozen
  1.43      0.61     0.01   273369     0.00     0.00  DeadCompare
  1.43      0.62     0.01   236150     0.00     0.00  DeadLock2
  1.43      0.63     0.01    89902     0.00     0.00  LogAndNotAndNotBS
  1.43      0.64     0.01    68349     0.00     0.00  UnReach
  1.43      0.65     0.01    38037     0.00     0.00  PSGetHashTable
  1.43      0.66     0.01    28708     0.00     0.00  MarkReachQuick
  1.43      0.67     0.01    26757     0.00     0.00  PenUnMakeMove
  1.43      0.68     0.01    21020     0.00     0.00  PenMoveOrdering
  1.43      0.69     0.01      177     0.06     0.06  GoalReach
  1.43      0.70     0.01                             GetShortestDist
  0.00      0.70     0.00   236150     0.00     0.00  SubMacro
  0.00      0.70     0.00   164293     0.00     0.00  BitOrEqBS
  0.00      0.70     0.00    89902     0.00     0.00  BitAndNotButOrBS
  0.00      0.70     0.00    89416     0.00     0.00  BitNotAndNotAndNotBS
  0.00      0.70     0.00    82536     0.00     0.00  GenAllSquares
  0.00      0.70     0.00    81429     0.00     0.00  AbortSearch
  0.00      0.70     0.00    77986     0.00     0.00  UpdateHashKey
  0.00      0.70     0.00    74683     0.00     0.00  DiffToDir
  0.00      0.70     0.00    65903     0.00     0.00  DeadTree
  0.00      0.70     0.00    56009     0.00     0.00  BitNext
  0.00      0.70     0.00    51200     0.00     0.00  PSStoreHashTable
  0.00      0.70     0.00    48603     0.00     0.00  BitAndNotEqBS
  0.00      0.70     0.00    48520     0.00     0.00  PenUpdateLowerBound
  0.00      0.70     0.00    43300     0.00     0.00  IncNodeCount
  0.00      0.70     0.00    38957     0.00     0.00  XDistMan
  0.00      0.70     0.00    28888     0.00     0.00  DeadUpdateLowerBound
  0.00      0.70     0.00    26757     0.00     0.00  PenMakeMove
  0.00      0.70     0.00    25344     0.00     0.00  GetScew
  0.00      0.70     0.00    24260     0.00     0.00  UpdateReach
  0.00      0.70     0.00    24048     0.00     0.00  NewAddScew
  0.00      0.70     0.00    23534     0.00     0.00  PenIsGoalNode
  0.00      0.70     0.00    21706     0.00     0.00  Debug
  0.00      0.70     0.00    20696     0.00     0.00  DistantSquares
  0.00      0.70     0.00    20675     0.00     0.00  LogAndBS
  0.00      0.70     0.00    20426     0.00     0.02  PushesMoves
  0.00      0.70     0.00    20357     0.00     0.02  SetManStoneSquares
  0.00      0.70     0.00    17552     0.00     0.00  PSSetPathFlag
  0.00      0.70     0.00    16395     0.00     0.00  DeadMakeMove
  0.00      0.70     0.00    16395     0.00     0.00  DeadUnMakeMove
  0.00      0.70     0.00    15460     0.00     0.00  NumberBitsBS
  0.00      0.70     0.00    14988     0.00     0.00  DeadIsGoalNode
  0.00      0.70     0.00    13712     0.00     0.00  DeadMoveOrdering
  0.00      0.70     0.00     9878     0.00     0.00  NormHashKey
  0.00      0.70     0.00     5565     0.00     0.00  PenLowerBound
  0.00      0.70     0.00     4636     0.00     0.00  FindTransitiveClosure
  0.00      0.70     0.00     4636     0.00     0.00  Maximize
  0.00      0.70     0.00     4287     0.00     0.00  DeadLowerBound
  0.00      0.70     0.00     4151     0.00     0.00  IncCounter
  0.00      0.70     0.00     3636     0.00     0.00  BitNotAndNotBS
  0.00      0.70     0.00     2676     0.00     0.00  CleanReach
  0.00      0.70     0.00     2676     0.00     0.00  MarkReachGRoom
  0.00      0.70     0.00     2056     0.00     0.00  compare_negval
  0.00      0.70     0.00     1598     0.00     0.00  XDistStone
  0.00      0.70     0.00     1592     0.00     0.00  Crowding
  0.00      0.70     0.00     1592     0.00     0.00  DistantMove
  0.00      0.70     0.00     1032     0.00     0.00  MarkReachDist
  0.00      0.70     0.00     1025     0.00     0.00  SubsetBS
  0.00      0.70     0.00      940     0.00     0.00  print_stats
  0.00      0.70     0.00      914     0.00     0.00  init_stats
  0.00      0.70     0.00      734     0.00     0.00  My_free
  0.00      0.70     0.00      712     0.00     0.00  PSUnSetPathFlag
  0.00      0.70     0.00      670     0.00     0.00  BitAndNotAndNotBS
  0.00      0.70     0.00      660     0.00     0.00  FindClosestPosStone
  0.00      0.70     0.00      623     0.00     0.61  PenIda
  0.00      0.70     0.00      579     0.00     0.00  MinMatch
  0.00      0.70     0.00      571     0.00     0.00  PenDeactivateStones
  0.00      0.70     0.00      513     0.00     0.00  PenStartIda
  0.00      0.70     0.00      427     0.00     0.66  DeadIda
  0.00      0.70     0.00      406     0.00     0.00  DeadStartIda
  0.00      0.70     0.00      385     0.00     0.00  DeadDeactivateStones
  0.00      0.70     0.00      358     0.00     0.00  BetterUpdateLowerBound
  0.00      0.70     0.00      358     0.00     0.00  MakeMove
  0.00      0.70     0.00      355     0.00     0.00  RegisterMove
  0.00      0.70     0.00      349     0.00     0.00  FindClosestPosMan
  0.00      0.70     0.00      294     0.00     0.00  Mprintf
  0.00      0.70     0.00      243     0.00     0.00  FindFarthestPosStone
  0.00      0.70     0.00      240     0.00     0.00  QualityCompare
  0.00      0.70     0.00      240     0.00     0.00  StoreHashTable
  0.00      0.70     0.00      222     0.00     0.00  IsGoalNodeNorm
  0.00      0.70     0.00      220     0.00     0.00  BetterUpdateLowerBound2
  0.00      0.70     0.00      220     0.00     0.00  UnMakeMove
  0.00      0.70     0.00      191     0.00     0.00  InitIDA
