Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 30.44      0.84     0.84    88077     0.00     0.00  Moves
 25.73      1.55     0.71   128986     0.00     0.00  MarkReach
  5.80      1.71     0.16   319992     0.00     0.00  GetPenalty
  5.07      1.85     0.14   240758     0.00     0.00  UnReach
  3.99      1.96     0.11    21813     0.00     0.00  MarkReachGRoom
  3.62      2.06     0.10  3708235     0.00     0.00  GetOptDist
  3.26      2.15     0.09  1574089     0.00     0.00  AllBitsSetBS
  2.54      2.22     0.07    93933     0.00     0.00  My_qsort
  2.17      2.28     0.06   102976     0.00     0.00  DeadUpdateLowerBound
  1.81      2.33     0.05   763258     0.00     0.00  BitOrAndEqBS
  1.45      2.37     0.04   429392     0.00     0.00  BitOrEqBS
  1.09      2.40     0.03   327353     0.00     0.00  BitNotAndNotAndNotBS
  1.09      2.43     0.03   196628     0.00     0.00  PenUpdateLowerBound
  1.09      2.46     0.03     4727     0.00     0.00  DistToGoal
  0.91      2.49     0.03    94345     0.00     0.00  GenerateMoves
  0.72      2.51     0.02  1096692     0.00     0.00  GetManDir
  0.72      2.53     0.02   670452     0.00     0.00  SubMacro
  0.72      2.55     0.02    89204     0.00     0.00  GetScew
  0.72      2.57     0.02     8196     0.00     0.00  PenLowerBound
  0.72      2.59     0.02     7462     0.00     0.00  DeadLowerBound
  0.72      2.61     0.02     5018     0.00     0.00  MarkReachDist
  0.36      2.62     0.01   983376     0.00     0.00  Frozen
  0.36      2.63     0.01   814570     0.00     0.00  DeadCompare
  0.36      2.64     0.01   763258     0.00     0.00  DeadLock
  0.36      2.65     0.01   319992     0.00     0.00  BitAndNotButOrBS
  0.36      2.66     0.01   319992     0.00     0.00  LogAndNotAndNotBS
  0.36      2.67     0.01   157164     0.00     0.00  BitAndNotEqBS
  0.36      2.68     0.01   107567     0.00     0.00  PSGetHashTable
  0.36      2.69     0.01   101937     0.00     0.00  PenMakeMove
  0.36      2.70     0.01    54930     0.00     0.00  DeadUnMakeMove
  0.36      2.71     0.01    53174     0.00     0.00  PushesMoves
  0.36      2.72     0.01    52924     0.00     0.00  SetManStoneSquares
  0.36      2.73     0.01    42434     0.00     0.00  DeadIsGoalNode
  0.36      2.74     0.01    38381     0.00     0.00  DeadMoveOrdering
  0.36      2.75     0.01     5325     0.00     0.00  StoneReach
  0.36      2.76     0.01        3     0.00     0.01  SetStoneDistances
  0.18      2.76     0.01                             compare_val
  0.00      2.76     0.00  1256734     0.00     0.00  PenCompare
  0.00      2.76     0.00   670751     0.00     0.00  DeadLock2
  0.00      2.76     0.00   301032     0.00     0.00  UpdateHashKey
  0.00      2.76     0.00   264366     0.00     0.00  DiffToDir
  0.00      2.76     0.00   256661     0.00     0.00  AbortSearch
  0.00      2.76     0.00   198731     0.00     0.00  GenAllSquares
  0.00      2.76     0.00   189426     0.00     0.00  DeadTree
  0.00      2.76     0.00   160429     0.00     0.00  IncNodeCount
  0.00      2.76     0.00   151423     0.00     0.00  PSStoreHashTable
  0.00      2.76     0.00   117418     0.00     0.00  XDistMan
  0.00      2.76     0.00   102716     0.00     0.00  MarkReachQuick
  0.00      2.76     0.00   101937     0.00     0.00  PenUnMakeMove
  0.00      2.76     0.00    95651     0.00     0.00  UpdateReach
  0.00      2.76     0.00    84848     0.00     0.00  NewAddScew
  0.00      2.76     0.00    65802     0.00     0.00  PenIsGoalNode
  0.00      2.76     0.00    64847     0.00     0.00  DistantSquares
