Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 22.63      0.74     0.74   122823     0.00     0.00  MarkReach
 21.71      1.45     0.71   104352     0.00     0.00  MarkReachGRoom
 17.13      2.01     0.56    66531     0.00     0.00  Moves
  5.20      2.18     0.17   214976     0.00     0.00  UnReach
  4.28      2.32     0.14   285459     0.00     0.00  GetPenalty
  3.98      2.45     0.13    25765     0.00     0.00  StoneReach
  1.53      2.50     0.05    16681     0.00     0.00  MarkReachDist
  1.38      2.55     0.05   958211     0.00     0.00  Frozen
  1.22      2.59     0.04   627122     0.00     0.00  SubMacro
  1.22      2.63     0.04    79740     0.00     0.00  GetScew
  1.22      2.67     0.04    75809     0.00     0.00  My_qsort
  1.22      2.71     0.04     3863     0.00     0.00  PickUpEntrances
  0.92      2.74     0.03  1021699     0.00     0.00  GetManDir
  0.92      2.77     0.03   713767     0.00     0.00  AllBitsSetBS
  0.92      2.80     0.03   285459     0.00     0.00  LogAndNotAndNotBS
  0.92      2.83     0.03   124388     0.00     0.00  PSStoreHashTable
  0.92      2.86     0.03    88079     0.00     0.00  MarkReachQuick
  0.92      2.89     0.03     8609     0.00     0.00  DistToGoal
  0.61      2.91     0.02  3052784     0.00     0.00  GetOptDist
  0.61      2.93     0.02   846671     0.00     0.00  DiffToDir
  0.61      2.95     0.02   669810     0.00     0.00  BitOrAndEqBS
  0.61      2.97     0.02   290915     0.00     0.00  BitNotAndNotAndNotBS
  0.61      2.99     0.02   285459     0.00     0.00  BitAndNotButOrBS
  0.61      3.01     0.02   162854     0.00     0.00  PenUpdateLowerBound
  0.61      3.03     0.02    80013     0.00     0.00  UpdateReach
  0.61      3.05     0.02    54549     0.00     0.00  DeadUnMakeMove
  0.61      3.07     0.02    30456     0.00     0.00  DeadMoveOrdering
  0.61      3.09     0.02    13446     0.00     0.00  GoalReach
  0.61      3.11     0.02    10010     0.00     0.00  PenLowerBound
  0.61      3.13     0.02        8     0.00     0.00  SetManDistances
  0.31      3.14     0.01   627122     0.00     0.00  DeadLock2
  0.31      3.15     0.01   250084     0.00     0.00  BitOrEqBS
  0.31      3.16     0.01   228821     0.00     0.00  BitAndNotEqBS
  0.31      3.17     0.01    76554     0.00     0.00  GenerateMoves
  0.31      3.18     0.01    54549     0.00     0.00  DeadMakeMove
  0.31      3.19     0.01    45953     0.00     0.00  PenMoveOrdering
  0.31      3.20     0.01    13863     0.00     0.00  BitAndNotBS
  0.31      3.21     0.01    10522     0.00     0.00  GroomIncPos
